date,district,region,estate_name,address,block_name,floor,flat,saleable_area_sqm,price_hkd,price_per_sqft_hkd,transaction_type,year,month,quarter
2024-01-07,Kwun Tong,Kowloon,TULIP COURT,"10 Queen Avenue, Kwun Tong",BLOCK F,22,17,33.1,2750300.0,83091.0,Resale,2024,1,1
2024-01-07,Wong Tai Sin,Kowloon,RUBY MANSION,"3 Queen Court, Wong Tai Sin",BLOCK D,31,24,29.3,1897600.0,64763.0,Resale,2024,1,1
2024-01-08,Central & Western,Hong Kong Island,PEAK RESIDENCE,"152 Des Voeux Gardens, Central & Western",BLOCK E,39,15,38.6,3006000.0,77875.0,Resale,2024,1,1
2024-01-08,North,New Territories & Outlying Islands,LAGUNA CITY,"116 Prince Lane, North",BLOCK A,29,27,48.6,3881000.0,79855.0,Resale,2024,1,1
2024-01-08,Wan Chai,Hong Kong Island,GOLDEN HEIGHTS,"72 Lockhart Gardens, Wan Chai",BLOCK C,25,5,33.2,2740400.0,82543.0,Resale,2024,1,1
2024-01-08,Eastern,Hong Kong Island,MAGNOLIA PLACE,"46 Queen Street, Eastern",BLOCK F,9,12,49.1,4318100.0,87946.0,Resale,2024,1,1
2024-01-08,Southern,Hong Kong Island,OCEAN FRONT,"192 Victoria Road, Southern",BLOCK A,4,18,27.0,2484000.0,91999.0,New Sale,2024,1,1
2024-01-08,Tai Po,New Territories & Outlying Islands,GOLDEN HEIGHTS,"54 Canton Path, Tai Po",BLOCK F,13,6,61.2,4264000.0,69673.0,Resale,2024,1,1
2024-01-08,Islands,New Territories & Outlying Islands,DIAMOND HILL,"154 Des Voeux Avenue, Islands",BLOCK C,2,2,49.0,2859400.0,58356.0,Resale,2024,1,1
2024-01-08,Tsuen Wan,New Territories & Outlying Islands,MAGNOLIA PLACE,"184 Lockhart Avenue, Tsuen Wan",BLOCK F,25,34,65.6,3390700.0,51688.0,Resale,2024,1,1
2024-01-08,Kwun Tong,Kowloon,LOTUS TOWER,"151 Des Voeux Drive, Kwun Tong",BLOCK A,22,16,58.6,4091400.0,69819.0,New Sale,2024,1,1
2024-01-08,Yuen Long,New Territories & Outlying Islands,LAGUNA CITY,"6 Lockhart Lane, Yuen Long",BLOCK C,11,13,67.2,4060000.0,60416.0,Resale,2024,1,1
2024-01-09,Central & Western,Hong Kong Island,PEARL COURT,"99 Victoria Lane, Central & Western",BLOCK D,36,23,38.7,2758700.0,71285.0,Resale,2024,1,1
2024-01-09,Eastern,Hong Kong Island,RIVERSIDE PALACE,"125 Prince Avenue, Eastern",BLOCK E,36,10,31.7,2634400.0,83104.0,New Sale,2024,1,1
2024-01-09,Kwun Tong,Kowloon,DAISY GARDEN,"34 Lockhart Gardens, Kwun Tong",BLOCK A,14,34,28.1,1991900.0,70887.0,Resale,2024,1,1
2024-01-09,North,New Territories & Outlying Islands,LILY MANSION,"71 Lockhart Court, North",BLOCK B,33,14,61.4,2444300.0,39809.0,New Sale,2024,1,1
2024-01-09,Eastern,Hong Kong Island,SAPPHIRE TOWER,"97 Canton Road, Eastern",BLOCK F,11,19,41.1,2951800.0,71820.0,Resale,2024,1,1
2024-01-09,Islands,New Territories & Outlying Islands,GOLDEN HEIGHTS,"67 Victoria Drive, Islands",BLOCK D,9,8,71.2,4873100.0,68442.0,Resale,2024,1,1
2024-01-09,Sai Kung,New Territories & Outlying Islands,MAGNOLIA PLACE,"114 Queen Path, Sai Kung",BLOCK A,1,17,51.1,2877400.0,56309.0,Resale,2024,1,1
2024-01-09,North,New Territories & Outlying Islands,METROPOLIS PARK,"190 Des Voeux Road, North",BLOCK E,35,4,46.7,2386700.0,51107.0,New Sale,2024,1,1
2024-01-09,Yuen Long,New Territories & Outlying Islands,DAISY GARDEN,"37 Lockhart Avenue, Yuen Long",BLOCK D,29,28,59.1,3948500.0,66810.0,Resale,2024,1,1
2024-01-09,Central & Western,Hong Kong Island,THE VICTORIA,"33 Prince Court, Central & Western",BLOCK E,28,11,65.5,5697900.0,86991.0,New Sale,2024,1,1
2024-01-09,Tuen Mun,New Territories & Outlying Islands,GOLDEN HEIGHTS,"21 Princess Avenue, Tuen Mun",BLOCK E,31,5,67.6,3724300.0,55093.0,Resale,2024,1,1
2024-01-09,Wong Tai Sin,Kowloon,VIOLET TERRACE,"36 Des Voeux Path, Wong Tai Sin",BLOCK E,35,36,30.1,1746900.0,58035.0,Resale,2024,1,1
2024-01-09,North,New Territories & Outlying Islands,THE VICTORIA,"61 Canton Street, North",BLOCK D,9,20,54.8,3309800.0,60397.0,Resale,2024,1,1
2024-01-10,Sham Shui Po,Kowloon,DIAMOND HILL,"130 Princess Street, Sham Shui Po",BLOCK C,26,11,60.6,3624200.0,59805.0,New Sale,2024,1,1
2024-01-10,Sha Tin,New Territories & Outlying Islands,SAPPHIRE TOWER,"108 Prince Path, Sha Tin",BLOCK B,19,39,33.6,2621100.0,78010.0,Resale,2024,1,1
2024-01-10,Central & Western,Hong Kong Island,HARBOUR VIEW,"98 Princess Street, Central & Western",BLOCK C,1,16,61.3,6294200.0,102679.0,Resale,2024,1,1
2024-01-10,Sha Tin,New Territories & Outlying Islands,RIVERSIDE PALACE,"126 Prince Gardens, Sha Tin",BLOCK E,13,11,68.6,3831400.0,55852.0,Resale,2024,1,1
2024-01-10,Sha Tin,New Territories & Outlying Islands,PEARL COURT,"139 Victoria Drive, Sha Tin",BLOCK E,8,31,77.6,4999700.0,64429.0,Resale,2024,1,1
2024-01-10,North,New Territories & Outlying Islands,METROPOLIS PARK,"88 Princess Path, North",BLOCK A,7,6,31.4,1667000.0,53089.0,Resale,2024,1,1
2024-01-10,Eastern,Hong Kong Island,RUBY MANSION,"9 King Path, Eastern",BLOCK E,26,27,75.7,8259300.0,109106.0,Resale,2024,1,1
2024-01-10,Sai Kung,New Territories & Outlying Islands,PEARL COURT,"109 Prince Gardens, Sai Kung",BLOCK C,7,12,66.4,3394800.0,51126.0,Resale,2024,1,1
2024-01-10,Kwun Tong,Kowloon,JASMINE TERRACE,"103 Queen Street, Kwun Tong",BLOCK D,3,37,33.4,2712200.0,81203.0,Resale,2024,1,1
2024-01-11,Kwai Tsing,New Territories & Outlying Islands,EMERALD PLAZA,"67 Victoria Avenue, Kwai Tsing",BLOCK B,8,29,77.1,4929300.0,63934.0,New Sale,2024,1,1
2024-01-11,Kwai Tsing,New Territories & Outlying Islands,CRYSTAL HOUSE,"25 Queen Street, Kwai Tsing",BLOCK B,36,9,49.6,2405700.0,48503.0,Resale,2024,1,1
2024-01-11,Islands,New Territories & Outlying Islands,GOLDEN HEIGHTS,"158 Canton Street, Islands",BLOCK C,18,38,58.7,4063800.0,69230.0,Resale,2024,1,1
2024-01-11,Sha Tin,New Territories & Outlying Islands,RUBY MANSION,"40 Des Voeux Path, Sha Tin",BLOCK B,10,19,60.0,5347700.0,89128.0,Resale,2024,1,1
2024-01-11,Eastern,Hong Kong Island,PEAK RESIDENCE,"133 Canton Gardens, Eastern",BLOCK E,12,31,34.1,2571800.0,75419.0,Resale,2024,1,1
2024-01-11,Tuen Mun,New Territories & Outlying Islands,CRYSTAL HOUSE,"110 Prince Drive, Tuen Mun",BLOCK C,10,9,37.5,1614400.0,43050.0,Resale,2024,1,1
2024-01-11,Southern,Hong Kong Island,DAISY GARDEN,"66 Des Voeux Road, Southern",BLOCK E,12,13,29.8,2438000.0,81811.0,Resale,2024,1,1
2024-01-11,Islands,New Territories & Outlying Islands,SUNFLOWER HEIGHTS,"127 Des Voeux Drive, Islands",BLOCK C,32,32,52.8,2782800.0,52705.0,Resale,2024,1,1
2024-01-11,Islands,New Territories & Outlying Islands,LAGUNA CITY,"110 King Avenue, Islands",BLOCK C,38,40,72.7,5027600.0,69156.0,Resale,2024,1,1
2024-01-11,Sha Tin,New Territories & Outlying Islands,SUNSHINE COURT,"97 Queen Court, Sha Tin",BLOCK F,14,25,27.7,2015400.0,72757.0,Resale,2024,1,1
2024-01-11,Kwai Tsing,New Territories & Outlying Islands,ORCHID GARDEN,"107 King Court, Kwai Tsing",BLOCK D,35,29,63.6,3753800.0,59022.0,Resale,2024,1,1
2024-01-11,Eastern,Hong Kong Island,LAGUNA CITY,"33 Canton Road, Eastern",BLOCK A,1,5,40.9,3104600.0,75907.0,Resale,2024,1,1
2024-01-12,North,New Territories & Outlying Islands,DAISY GARDEN,"175 Des Voeux Lane, North",BLOCK A,22,14,45.9,2798200.0,60962.0,Resale,2024,1,1
2024-01-12,Wong Tai Sin,Kowloon,SAPPHIRE TOWER,"50 Prince Road, Wong Tai Sin",BLOCK F,9,9,26.8,1985400.0,74083.0,Resale,2024,1,1
2024-01-12,Sham Shui Po,Kowloon,RUBY MANSION,"44 Nathan Lane, Sham Shui Po",BLOCK C,37,24,76.1,5051700.0,66382.0,Resale,2024,1,1
2024-01-12,Wong Tai Sin,Kowloon,SAPPHIRE TOWER,"51 Princess Drive, Wong Tai Sin",BLOCK A,12,40,72.9,4894500.0,67140.0,Resale,2024,1,1
2024-01-12,Sai Kung,New Territories & Outlying Islands,HARBOUR VIEW,"125 King Street, Sai Kung",BLOCK E,34,38,43.2,2399500.0,55545.0,Resale,2024,1,1
2024-01-12,Kowloon City,Kowloon,METROPOLIS PARK,"108 King Street, Kowloon City",BLOCK E,40,4,26.9,1972600.0,73330.0,Resale,2024,1,1
2024-01-12,Sai Kung,New Territories & Outlying Islands,ROSE COURT,"174 Nathan Avenue, Sai Kung",BLOCK D,8,21,54.0,4058400.0,75155.0,Resale,2024,1,1
2024-01-12,Islands,New Territories & Outlying Islands,LILY MANSION,"57 Princess Path, Islands",BLOCK A,19,12,39.3,2785800.0,70885.0,Resale,2024,1,1
2024-01-13,Wong Tai Sin,Kowloon,CRYSTAL HOUSE,"165 Lockhart Street, Wong Tai Sin",BLOCK F,26,26,52.4,4015200.0,76626.0,Resale,2024,1,1
2024-01-13,Tuen Mun,New Territories & Outlying Islands,JADE GARDEN,"155 Des Voeux Drive, Tuen Mun",BLOCK F,31,8,40.3,2469300.0,61272.0,Resale,2024,1,1
2024-01-13,Sai Kung,New Territories & Outlying Islands,LILY MANSION,"168 Queen Street, Sai Kung",BLOCK D,27,3,55.6,3695200.0,66460.0,Resale,2024,1,1
2024-01-13,Kwun Tong,Kowloon,AMBER COURT,"153 Princess Road, Kwun Tong",BLOCK C,40,18,27.7,2126600.0,76772.0,Resale,2024,1,1
2024-01-13,Central & Western,Hong Kong Island,MAGNOLIA PLACE,"184 King Avenue, Central & Western",BLOCK E,3,11,35.2,2266000.0,64374.0,New Sale,2024,1,1
2024-01-13,Yuen Long,New Territories & Outlying Islands,RUBY MANSION,"158 Lockhart Road, Yuen Long",BLOCK B,34,17,76.0,3121000.0,41066.0,Resale,2024,1,1
2024-01-13,Kowloon City,Kowloon,SUNFLOWER HEIGHTS,"144 Des Voeux Court, Kowloon City",BLOCK C,16,21,50.4,4162500.0,82590.0,New Sale,2024,1,1
2024-01-14,Wan Chai,Hong Kong Island,JADE GARDEN,"7 Lockhart Avenue, Wan Chai",BLOCK D,4,1,27.6,1988600.0,72051.0,Resale,2024,1,1
2024-01-14,North,New Territories & Outlying Islands,DAISY GARDEN,"156 Hennessy Court, North",BLOCK F,15,5,35.9,2512400.0,69983.0,Resale,2024,1,1
2024-01-14,Kowloon City,Kowloon,JADE GARDEN,"132 King Street, Kowloon City",BLOCK B,35,35,25.4,2305600.0,90771.0,Resale,2024,1,1
2024-01-14,Yuen Long,New Territories & Outlying Islands,SKY TOWER,"120 King Court, Yuen Long",BLOCK B,3,8,42.8,2281100.0,53296.0,Resale,2024,1,1
2024-01-14,Central & Western,Hong Kong Island,MAGNOLIA PLACE,"26 Prince Court, Central & Western",BLOCK D,5,9,73.8,7773100.0,105326.0,Resale,2024,1,1
2024-01-14,Tuen Mun,New Territories & Outlying Islands,TULIP COURT,"14 Canton Drive, Tuen Mun",BLOCK A,26,26,38.1,1736900.0,45589.0,Resale,2024,1,1
2024-01-14,Kwai Tsing,New Territories & Outlying Islands,ROSE COURT,"168 Queen Lane, Kwai Tsing",BLOCK A,19,18,30.4,2279400.0,74981.0,Resale,2024,1,1
2024-01-14,Wong Tai Sin,Kowloon,TULIP COURT,"185 Canton Road, Wong Tai Sin",BLOCK C,22,36,42.8,3267200.0,76337.0,Resale,2024,1,1
2024-01-14,Wan Chai,Hong Kong Island,THE VICTORIA,"134 Nathan Lane, Wan Chai",BLOCK E,25,5,49.9,3771200.0,75576.0,Resale,2024,1,1
2024-01-14,Kwun Tong,Kowloon,AMBER COURT,"173 Nathan Street, Kwun Tong",BLOCK E,23,17,40.5,2232500.0,55124.0,Resale,2024,1,1
2024-01-14,Tai Po,New Territories & Outlying Islands,PEAK RESIDENCE,"173 Des Voeux Road, Tai Po",BLOCK F,6,21,57.3,4059000.0,70838.0,Resale,2024,1,1
2024-01-14,Tsuen Wan,New Territories & Outlying Islands,ORCHID GARDEN,"146 King Path, Tsuen Wan",BLOCK B,29,3,38.5,1449900.0,37661.0,Resale,2024,1,1
2024-01-14,Yuen Long,New Territories & Outlying Islands,PEARL COURT,"64 Victoria Court, Yuen Long",BLOCK A,21,30,63.5,2999600.0,47238.0,New Sale,2024,1,1
2024-01-14,Southern,Hong Kong Island,AMBER COURT,"64 Hennessy Road, Southern",BLOCK A,26,38,65.8,4515300.0,68621.0,New Sale,2024,1,1
2024-01-14,Kwun Tong,Kowloon,METROPOLIS PARK,"59 Des Voeux Drive, Kwun Tong",BLOCK C,14,17,56.1,5151700.0,91830.0,Resale,2024,1,1
2024-01-14,Tai Po,New Territories & Outlying Islands,OCEAN FRONT,"141 King Street, Tai Po",BLOCK A,22,5,77.4,3914700.0,50578.0,Resale,2024,1,1
2024-01-14,Eastern,Hong Kong Island,OCEAN FRONT,"65 Princess Path, Eastern",BLOCK D,24,18,63.8,4717200.0,73938.0,New Sale,2024,1,1
2024-01-15,Sai Kung,New Territories & Outlying Islands,VIOLET TERRACE,"47 Nathan Road, Sai Kung",BLOCK E,19,12,38.2,1859700.0,48682.0,Resale,2024,1,1
